datetime,price,hour,action,soc,energy_delta,revenue
2025-09-19 02:00:00,71.15137818726576,2,HOLD,0.0,0.0,0.0
2025-09-19 03:00:00,70.85994181498393,3,HOLD,0.0,0.0,0.0
2025-09-19 04:00:00,70.85994181498393,4,HOLD,0.0,0.0,0.0
2025-09-19 05:00:00,91.1582294984738,5,HOLD,0.0,0.0,0.0
2025-09-19 06:00:00,117.93969823553172,6,HOLD,0.0,0.0,0.0
2025-09-19 07:00:00,138.15106629921823,7,HOLD,0.0,0.0,0.0
2025-09-19 08:00:00,74.80200221900677,8,HOLD,0.0,0.0,0.0
2025-09-19 09:00:00,10.220724705112406,9,CHARGE,10.0,10.0,-102.20724705112406
2025-09-19 10:00:00,8.431203120925643,10,CHARGE,20.0,10.0,-84.31203120925643
2025-09-19 11:00:00,5.92075998425221,11,CHARGE,30.0,10.0,-59.2075998425221
2025-09-19 12:00:00,0.991906249520664,12,CHARGE,40.0,10.0,-9.91906249520664
2025-09-19 13:00:00,0.0,13,CHARGE,50.0,10.0,-0.0
2025-09-19 14:00:00,0.0,14,CHARGE,60.0,10.0,-0.0
2025-09-19 15:00:00,11.969342938803477,15,CHARGE,70.0,10.0,-119.69342938803477
2025-09-19 16:00:00,79.10196693986697,16,DISCHARGE,60.0,-10.0,711.9177024588028
2025-09-19 17:00:00,115.7922723345076,17,DISCHARGE,50.0,-10.0,1042.1304510105683
2025-09-19 18:00:00,253.19173956836735,18,DISCHARGE,40.0,-10.0,2278.7256561153063
2025-09-19 19:00:00,406.44125511931,19,DISCHARGE,30.0,-10.0,3657.9712960737897
2025-09-19 20:00:00,162.8720287550554,20,DISCHARGE,20.0,-10.0,1465.8482587954986
2025-09-19 21:00:00,108.79779939974333,21,DISCHARGE,10.0,-10.0,979.1801945976899
2025-09-19 22:00:00,101.77776187091924,22,DISCHARGE,0.0,-10.0,915.9998568382731
2025-09-19 23:00:00,80.60005215177188,23,HOLD,0.0,0.0,0.0
2025-09-20 00:00:00,93.57152717771994,0,HOLD,0.0,0.0,0.0
2025-09-20 01:00:00,83.36102831023146,1,HOLD,0.0,0.0,0.0
2025-09-20 02:00:00,79.53145212007179,2,HOLD,0.0,0.0,0.0
2025-09-20 03:00:00,79.4087420685847,3,HOLD,0.0,0.0,0.0
2025-09-20 04:00:00,79.35761288046508,4,HOLD,0.0,0.0,0.0
2025-09-20 05:00:00,85.26814702709336,5,HOLD,0.0,0.0,0.0
2025-09-20 06:00:00,93.68912431039509,6,HOLD,0.0,0.0,0.0
2025-09-20 07:00:00,92.2779587182935,7,HOLD,0.0,0.0,0.0
2025-09-20 08:00:00,24.439751921179244,8,HOLD,0.0,0.0,0.0
2025-09-20 09:00:00,15.088223414100408,9,CHARGE,10.0,10.0,-150.8822341410041
2025-09-20 10:00:00,0.0102258376239243,10,CHARGE,20.0,10.0,-0.102258376239243
2025-09-20 11:00:00,-1.2884555406144709,11,CHARGE,30.0,10.0,12.88455540614471
2025-09-20 12:00:00,-8.349396419934248,12,CHARGE,40.0,10.0,83.49396419934249
2025-09-20 13:00:00,-9.740110336787962,13,CHARGE,50.0,10.0,97.40110336787963
2025-09-20 14:00:00,-4.320416396108046,14,CHARGE,60.0,10.0,43.204163961080454
2025-09-20 15:00:00,0.1585004831708277,15,CHARGE,70.0,10.0,-1.585004831708277
2025-09-20 16:00:00,31.112110970789896,16,HOLD,70.0,0.0,0.0
2025-09-20 17:00:00,103.9609782036271,17,DISCHARGE,60.0,-10.0,935.6488038326439
2025-09-20 18:00:00,157.06886590347833,18,DISCHARGE,50.0,-10.0,1413.619793131305
2025-09-20 19:00:00,163.96108046200334,19,DISCHARGE,40.0,-10.0,1475.64972415803
2025-09-20 20:00:00,121.0381270355808,20,DISCHARGE,30.0,-10.0,1089.3431433202272
2025-09-20 21:00:00,94.2004161915913,21,DISCHARGE,20.0,-10.0,847.8037457243217
